date,open,high,low,close,volume,ADX,APO,Real Upper Band,Real Middle Band,Real Lower Band,CCI,MACD,MACD_Signal,MACD_Hist,OBV,RSI,SlowK,SlowD,shares_outstanding_basic,WMA
1999-11-01,58.25,59.38,57.88,59.0,4212600.0,30.7542,0.5032,14.5258,14.1124,13.6991,35.7599,-0.0896,0.5498,-0.6394,8425200.0,47.8555,43.3459,62.1942,2316000000.0,14.0668
1999-11-02,58.63,58.94,57.31,57.75,3226800.0,30.7542,0.5032,14.5258,14.1124,13.6991,35.7599,-0.0896,0.5498,-0.6394,1971600.0,47.8555,43.3459,62.1942,2316000000.0,14.0668
1999-11-03,57.19,57.75,56.06,56.88,3958700.0,30.7542,0.5032,14.5258,14.1124,13.6991,35.7599,-0.0896,0.5498,-0.6394,-5945800.0,47.8555,43.3459,62.1942,2316000000.0,14.0668
1999-11-04,57.5,57.5,56.06,56.69,3768500.0,30.7542,0.5032,14.5258,14.1124,13.6991,35.7599,-0.0896,0.5498,-0.6394,-13482800.0,47.8555,43.3459,62.1942,2316000000.0,14.0668
1999-11-05,57.94,58.44,57.63,58.13,4104800.0,30.7542,0.5032,14.5258,14.1124,13.6991,35.7599,-0.0896,0.5498,-0.6394,-5273200.0,47.8555,43.3459,62.1942,2316000000.0,14.0668
1999-11-08,57.94,58.94,57.69,58.81,2735000.0,30.7542,0.5032,14.4884,14.1031,13.7179,85.9907,-0.0896,0.5498,-0.6394,196800.0,47.8555,43.3459,62.1942,2316000000.0,14.1581
1999-11-09,58.81,58.81,57.25,57.69,2228200.0,30.7542,0.5032,14.4849,14.1002,13.7155,30.7457,-0.0896,0.5498,-0.6394,-4259600.0,36.3636,43.3459,62.1942,2316000000.0,14.1612
1999-11-10,57.06,58.25,57.0,57.88,2574500.0,30.7542,0.5032,14.4861,14.1491,13.8122,-11.2179,-0.0896,0.5498,-0.6394,889400.0,39.4471,43.3459,62.1942,2316000000.0,14.1808
1999-11-11,57.81,57.94,56.5,56.75,2422300.0,30.7542,0.5032,14.4793,14.1521,13.8249,-141.8234,-0.0896,0.5498,-0.6394,-3955200.0,29.0005,43.3459,62.1942,2316000000.0,14.0919
1999-11-12,57.0,57.5,56.56,57.5,2416300.0,30.7542,0.5032,14.446,14.1212,13.7964,-73.9272,-0.0896,0.5498,-0.6394,877400.0,41.7899,38.1413,51.0821,2316000000.0,14.0632
1999-11-15,57.5,58.31,57.5,58.25,2770900.0,25.5917,0.5032,14.3375,14.0938,13.8501,80.8266,-0.0896,0.5498,-0.6394,6419200.0,52.4881,42.329,41.2721,2316000000.0,14.1059
1999-11-16,58.31,59.25,57.75,59.25,3279400.0,27.8432,0.5032,14.5751,14.1702,13.7653,130.9338,-0.0896,0.5498,-0.6394,12978000.0,63.6289,72.2471,50.9058,2316000000.0,14.2393
1999-11-17,58.69,60.0,58.5,59.94,3952500.0,32.8121,0.5032,14.8343,14.271,13.7076,113.3005,-0.0896,0.5498,-0.6394,20883000.0,69.7472,91.3478,68.6413,2316000000.0,14.4035
1999-11-18,60.0,60.81,59.25,60.44,3298200.0,39.1806,0.5032,14.9786,14.4515,13.9244,107.8461,-0.0896,0.5498,-0.6394,27479400.0,73.7475,96.5266,86.7071,2316000000.0,14.5749
1999-11-19,60.5,60.69,59.69,60.5,3750900.0,44.2755,0.5032,15.0104,14.5983,14.1862,82.8399,-0.0896,0.5498,-0.6394,34981200.0,74.258,93.4048,93.7597,2316000000.0,14.6911
1999-11-22,61.5,66.06,61.5,65.38,12510900.0,53.4677,0.5032,16.0164,14.9471,13.8778,166.6667,-0.0896,0.5498,-0.6394,60003000.0,91.3537,91.2485,93.7266,2316000000.0,15.1562
1999-11-23,66.0,66.94,65.81,66.63,9632900.0,61.0737,0.5032,16.694,15.3082,13.9223,110.9056,-0.0896,0.5498,-0.6394,79268800.0,92.8699,92.9262,92.5265,2316000000.0,15.6069
1999-11-24,66.44,68.44,66.19,67.94,5825600.0,67.5253,0.5032,17.2329,15.6996,14.1662,89.2654,-0.0896,0.5498,-0.6394,90920000.0,94.2018,94.2345,92.8031,2316000000.0,16.0442
1999-11-26,67.13,67.88,66.56,66.56,1653300.0,72.6866,0.5032,17.262,15.999,14.736,55.72,-0.0896,0.5498,-0.6394,87613400.0,75.6046,89.8002,92.3203,2316000000.0,16.2384
1999-11-29,65.88,67.19,65.75,67.06,4260100.0,71.8665,0.5032,16.7408,16.3278,15.9147,31.6771,-0.0896,0.5498,-0.6394,96133600.0,78.1799,85.1648,89.7331,2316000000.0,16.3866
1999-11-30,66.63,67.94,66.5,67.19,3775500.0,72.1875,0.5032,16.6724,16.4242,16.1759,67.8234,-0.0896,0.5498,-0.6394,103684600.0,78.7339,73.1673,82.7108,2316000000.0,16.4359
1999-12-01,66.69,69.0,66.69,68.19,5430800.0,73.5879,0.5032,16.8103,16.5084,16.2065,137.9286,-0.0896,0.5498,-0.6394,114546200.0,82.9071,72.0215,76.7845,2316000000.0,16.5348
1999-12-02,67.0,67.94,67.0,67.44,2376800.0,74.7082,0.5032,16.776,16.4919,16.2077,40.161,-0.0896,0.5498,-0.6394,109792600.0,70.0245,61.8813,69.0234,2316000000.0,16.5443
1999-12-03,68.25,69.0,67.81,68.31,3834100.0,76.653,0.5032,16.8384,16.5854,16.3325,110.555,-0.0896,0.5498,-0.6394,117460800.0,75.5364,68.6154,67.5061,2316000000.0,16.6304
1999-12-06,68.19,68.19,62.63,64.6,13263800.0,66.794,0.5032,17.1233,16.4648,15.8063,-165.1903,-0.0896,0.5498,-0.6394,90933200.0,38.1466,53.8985,61.4651,2316000000.0,16.3821
1999-12-07,62.5,62.75,58.75,59.0,18069100.0,64.1668,0.5032,17.7895,16.0631,14.3368,-148.7719,-0.0896,0.5498,-0.6394,54795000.0,19.7247,37.3782,53.2973,2316000000.0,15.7163
1999-12-08,60.13,60.88,59.38,60.0,10011400.0,62.065,0.2535,17.5184,15.6615,13.8046,-84.1427,-0.0896,0.5498,-0.6394,74817800.0,27.536,15.1868,35.4878,2316000000.0,15.2661
1999-12-09,61.0,62.19,60.06,62.13,6862700.0,55.4553,0.0897,17.0471,15.4011,13.755,-35.5967,-0.0896,0.5498,-0.6394,88543200.0,42.4467,15.8699,22.8116,2316000000.0,15.1238
1999-12-10,62.5,63.38,62.13,63.25,5859500.0,46.1926,-0.0161,16.1611,15.1529,14.1447,38.7622,-0.0896,0.5498,-0.6394,100262200.0,49.3033,30.9467,20.6678,2316000000.0,15.16
1999-12-13,63.0,63.0,61.38,62.0,2793100.0,40.7491,-0.1364,15.7839,15.0254,14.267,52.6841,-0.0896,0.5498,-0.6394,94676000.0,42.2768,50.2798,32.3655,2316000000.0,15.1766
1999-12-14,61.56,61.94,61.06,61.25,3560600.0,37.2786,-0.2502,15.6624,15.1358,14.6091,-16.7631,-0.0896,0.5498,-0.6394,87554800.0,38.1943,54.8713,45.366,2316000000.0,15.1745
1999-12-15,61.0,61.19,59.38,59.88,4527100.0,38.542,-0.3713,15.6756,15.1299,14.5841,-134.3238,-0.0896,0.5498,-0.6394,78500600.0,31.2942,43.1481,49.4331,2316000000.0,15.0236
1999-12-16,60.38,60.38,57.88,58.5,5302600.0,42.1178,-0.4911,15.7615,14.9519,14.1423,-115.942,-0.0896,0.5498,-0.6394,67895400.0,25.4949,23.5076,40.509,2316000000.0,14.7619
1999-12-17,58.5,59.88,57.38,59.75,8015000.0,45.7327,-0.5373,15.3812,14.7802,14.1792,-75.9494,-0.0896,0.5498,-0.6394,83925400.0,38.4166,21.9812,29.5456,2316000000.0,14.6617
1999-12-20,59.75,60.38,58.5,59.56,3791800.0,45.4971,-0.5489,15.0914,14.6606,14.2298,-26.4488,-0.2784,0.4074,-0.6858,76341800.0,37.191,33.7502,26.413,2316000000.0,14.6032
