date,open,high,low,close,volume,ADX,APO,Real Upper Band,Real Middle Band,Real Lower Band,CCI,MACD,MACD_Signal,MACD_Hist,OBV,RSI,SlowK,SlowD,shares_outstanding_basic,WMA
1999-11-01,105.3,106.7,105.0,105.1,2852100.0,46.6013,-0.7293,27.2861,26.7246,26.163,74.3243,-1.3135,-0.8678,-0.4457,5704200.0,44.7761,19.6078,28.9513,2809800000.0,26.7859
1999-11-02,105.1,106.1,102.3,102.5,3691300.0,46.6013,-0.7293,27.2861,26.7246,26.163,74.3243,-1.3135,-0.8678,-0.4457,-1678400.0,44.7761,19.6078,28.9513,2809800000.0,26.7859
1999-11-03,104.0,105.1,103.5,104.3,2498800.0,46.6013,-0.7293,27.2861,26.7246,26.163,74.3243,-1.3135,-0.8678,-0.4457,3319200.0,44.7761,19.6078,28.9513,2809800000.0,26.7859
1999-11-04,105.0,106.0,104.9,105.3,3183100.0,46.6013,-0.7293,27.2861,26.7246,26.163,74.3243,-1.3135,-0.8678,-0.4457,9685400.0,44.7761,19.6078,28.9513,2809800000.0,26.7859
1999-11-05,106.0,106.7,105.3,105.5,3442600.0,46.6013,-0.7293,27.2861,26.7246,26.163,74.3243,-1.3135,-0.8678,-0.4457,16570600.0,44.7761,19.6078,28.9513,2809800000.0,26.7859
1999-11-08,105.6,105.9,103.9,104.4,2241800.0,46.6013,-0.7293,27.2318,26.6888,26.1458,-4.6481,-1.3135,-0.8678,-0.4457,12087000.0,44.7761,19.6078,28.9513,2809800000.0,26.774
1999-11-09,105.4,105.4,103.3,103.6,2106400.0,46.6013,-0.7293,27.1013,26.745,26.3887,-86.6966,-1.3135,-0.8678,-0.4457,7874200.0,38.961,19.6078,28.9513,2809800000.0,26.7058
1999-11-10,102.5,103.5,102.3,103.0,2689100.0,46.6013,-0.7293,27.1696,26.6786,26.1875,-128.2051,-1.3135,-0.8678,-0.4457,2496000.0,34.7323,19.6078,28.9513,2809800000.0,26.5678
1999-11-11,103.1,104.0,102.9,103.8,1388400.0,46.6013,-0.7293,27.0352,26.6019,26.1685,-52.9101,-1.3135,-0.8678,-0.4457,5272800.0,44.7304,19.6078,28.9513,2809800000.0,26.5201
1999-11-12,104.0,104.3,102.3,103.8,1496700.0,46.6013,-0.7293,26.7708,26.5293,26.2878,-9.7158,-1.3135,-0.8678,-0.4457,8266200.0,48.2019,33.1481,25.6364,2809800000.0,26.5218
1999-11-15,103.8,103.9,102.6,103.5,1611500.0,41.8821,-0.7293,26.6817,26.4975,26.3133,5.0029,-1.3135,-0.8678,-0.4457,5043200.0,44.4524,43.7504,32.1688,2809800000.0,26.522
1999-11-16,104.3,106.1,104.1,106.1,2940000.0,40.4291,-0.7293,27.2261,26.64,26.0539,166.6667,-1.3135,-0.8678,-0.4457,10923200.0,69.855,65.7201,47.5395,2809800000.0,26.755
1999-11-17,105.9,106.9,105.4,105.6,2457200.0,41.5622,-0.7293,27.3592,26.7875,26.2157,99.1793,-1.3135,-0.8678,-0.4457,6008800.0,62.9364,73.1517,60.874,2809800000.0,26.8978
1999-11-18,104.9,105.0,103.6,104.4,1733200.0,33.6888,-0.7293,27.3507,26.8325,26.3144,-12.1043,-1.3135,-0.8678,-0.4457,2542400.0,48.5197,72.4638,70.4452,2809800000.0,26.8889
1999-11-19,104.4,105.2,103.8,105.2,1531500.0,27.4092,-0.7293,27.3748,26.9043,26.4338,-2.3641,-1.3135,-0.8678,-0.4457,5605400.0,56.7716,59.2855,68.3003,2809800000.0,26.9334
1999-11-22,105.1,105.8,104.4,105.3,1644500.0,25.1474,-0.7293,27.2819,26.9966,26.7113,5.618,-1.3135,-0.8678,-0.4457,8894400.0,57.8278,52.5441,61.4311,2809800000.0,26.9624
1999-11-23,104.9,104.9,103.5,104.0,2105600.0,21.7622,-0.7293,27.1965,26.8889,26.5813,-87.3016,-1.3135,-0.8678,-0.4457,4683200.0,41.3929,42.2287,51.3528,2809800000.0,26.8496
1999-11-24,103.6,104.9,103.6,104.8,1801200.0,19.054,-0.7293,27.0982,26.8479,26.5976,-27.0655,-1.3135,-0.8678,-0.4457,8285600.0,51.9069,40.9143,45.229,2809800000.0,26.8411
1999-11-26,105.0,105.1,103.2,103.2,671200.0,19.2187,-0.7293,27.194,26.7864,26.3789,-106.576,-1.3135,-0.8678,-0.4457,6943200.0,35.8351,23.7425,35.6285,2809800000.0,26.7095
1999-11-29,103.0,105.3,101.8,105.1,2038400.0,25.0741,-0.7293,27.1802,26.7813,26.3823,-45.7746,-1.3135,-0.8678,-0.4457,11020000.0,56.0395,46.3406,36.9991,2809800000.0,26.7608
1999-11-30,104.3,104.7,103.6,103.8,1730500.0,29.7583,-0.7293,27.0572,26.7044,26.3516,-30.303,-1.3135,-0.8678,-0.4457,7559000.0,44.1497,46.5476,38.8769,2809800000.0,26.7027
1999-12-01,103.3,103.4,101.1,102.5,2292600.0,38.6474,-0.7293,27.1249,26.6275,26.13,-166.6667,-1.3135,-0.8678,-0.4457,2973800.0,34.8951,57.6587,50.1823,2809800000.0,26.5591
1999-12-02,101.2,101.3,99.0,100.1,3267000.0,47.5328,-0.7293,27.2361,26.3865,25.5369,-139.0013,-1.3135,-0.8678,-0.4457,-3560200.0,23.5184,35.9788,46.7284,2809800000.0,26.2362
1999-12-03,99.0,99.44,96.13,97.25,6360500.0,55.8938,-0.7293,27.5125,26.0815,24.6505,-121.4131,-1.3135,-0.8678,-0.4457,-16281200.0,15.8486,21.0025,38.2133,2809800000.0,25.75
1999-12-06,96.0,97.94,95.56,96.81,3373000.0,62.762,-0.7293,27.0772,25.6565,24.2359,-94.341,-1.3135,-0.8678,-0.4457,-23027200.0,14.9102,14.4501,23.8105,2809800000.0,25.3279
1999-12-07,96.94,97.19,93.06,93.38,5460000.0,68.8731,-0.7293,26.7104,25.1223,23.5342,-105.2661,-1.3135,-0.8678,-0.4457,-33947200.0,9.4551,9.6616,15.038,2809800000.0,24.7544
1999-12-08,92.81,93.31,90.25,91.21,4971000.0,74.1727,-0.9647,26.1406,24.5435,22.9465,-123.5213,-1.3135,-0.8678,-0.4457,-43889200.0,7.3333,8.4862,10.866,2809800000.0,24.1736
1999-12-09,92.0,94.63,91.75,93.25,4335900.0,72.4402,-1.0942,25.3719,24.1924,23.0128,-52.2978,-1.3135,-0.8678,-0.4457,-35217400.0,26.6704,14.8089,10.9856,2809800000.0,23.96
1999-12-10,95.0,95.13,93.25,94.38,2925000.0,68.8204,-1.1452,24.9789,24.0452,23.1116,8.9641,-1.3135,-0.8678,-0.4457,-29367400.0,35.928,31.6794,18.3248,2809800000.0,23.96
1999-12-13,94.63,94.81,92.06,93.18,2713700.0,67.4513,-1.1952,24.3877,23.8591,23.3305,-3.2485,-1.3135,-0.8678,-0.4457,-34794800.0,30.7712,42.8564,29.7816,2809800000.0,23.9065
1999-12-14,92.25,95.69,92.0,94.19,2887200.0,62.0196,-1.1704,24.4773,23.9007,23.324,65.6353,-1.3135,-0.8678,-0.4457,-29020400.0,39.8536,56.1172,43.551,2809800000.0,24.0013
1999-12-15,94.13,95.19,93.5,94.67,3021700.0,57.6742,-1.0957,24.3892,24.078,23.7668,89.6226,-1.3135,-0.8678,-0.4457,-22977000.0,44.2023,62.9191,53.9642,2809800000.0,24.1233
1999-12-16,95.69,95.75,93.44,94.63,3238500.0,50.9019,-0.9924,24.4275,24.1488,23.87,85.5216,-1.3135,-0.8678,-0.4457,-29454000.0,43.8719,72.2238,63.7534,2809800000.0,24.1828
1999-12-17,95.06,95.44,92.38,94.88,7296000.0,48.798,-0.8631,24.4861,24.1744,23.8627,20.1623,-1.3135,-0.8678,-0.4457,-14862000.0,46.9689,73.6817,69.6082,2809800000.0,24.24
1999-12-20,93.94,94.0,90.44,91.98,3185500.0,51.0765,-0.8086,24.6608,24.1129,23.5649,-166.6667,-1.3732,-0.9839,-0.3894,-21233000.0,26.0928,58.6451,68.1835,2809800000.0,24.041
1999-12-21,91.63,91.69,90.13,91.0,2905800.0,53.3947,-0.7671,24.7788,23.9494,23.1199,-112.1573,-1.3805,-1.0824,-0.2981,-27044600.0,21.9683,40.4274,57.5847,2809800000.0,23.7786
1999-12-22,90.88,92.75,90.81,91.56,2891200.0,48.4137,-0.7083,24.6205,23.7899,22.9593,-50.0918,-1.375,-1.1616,-0.2134,-21262200.0,29.8848,23.3091,40.7939,2809800000.0,23.6187
1999-12-23,92.63,95.88,92.0,95.56,2903600.0,44.2575,-0.5495,24.7885,23.8376,22.8867,89.5372,-1.2245,-1.2117,-0.0128,-15455000.0,63.2102,45.12,36.2855,2809800000.0,23.8537
1999-12-27,95.44,97.75,94.75,97.75,2081200.0,44.4925,-0.3486,25.3334,23.9847,22.636,122.5524,-1.0074,-1.2232,0.2158,-11292600.0,72.24,73.2932,47.2408,2809800000.0,24.2599
1999-12-28,97.75,97.75,94.38,95.44,1706700.0,43.0125,-0.2329,25.4827,24.1621,22.8415,60.6734,-0.8723,-1.2103,0.338,-14706000.0,54.5778,88.0399,68.8177,2809800000.0,24.4196
1999-12-29,96.19,96.19,92.25,92.44,1558000.0,35.0007,-0.2172,25.3924,24.2359,23.0794,-39.2696,-0.7879,-1.1736,0.3857,-17822000.0,39.0706,64.3907,75.2413,2809800000.0,24.264
