date,open,high,low,close,volume,ADX,APO,Real Upper Band,Real Middle Band,Real Lower Band,CCI,MACD,MACD_Signal,MACD_Hist,OBV,RSI,SlowK,SlowD,shares_outstanding_basic,WMA
2014-03-27,568.0,568.0,552.92,558.46,13100.0,29.0821,-0.3937,28.3329,27.9036,27.4742,166.6667,-0.3198,-0.5409,0.2211,262000.0,81.9728,16.7035,16.1483,677097000.0,27.9838
2014-03-28,561.2,566.43,558.67,559.99,41100.0,29.0821,-0.3937,28.3329,27.9036,27.4742,166.6667,-0.3198,-0.5409,0.2211,1084000.0,81.9728,16.7035,16.1483,677097000.0,27.9838
2014-03-31,566.89,567.0,556.93,556.97,10800.0,29.0821,-0.3937,28.3329,27.9036,27.4742,166.6667,-0.3198,-0.5409,0.2211,868000.0,81.9728,16.7035,16.1483,677097000.0,27.9838
2014-04-01,558.71,568.45,558.71,567.16,7900.0,29.0821,-0.3937,28.3329,27.9036,27.4742,166.6667,-0.3198,-0.5409,0.2211,1026000.0,81.9728,16.7035,16.1483,677097000.0,27.9838
2014-04-02,565.106,604.83,562.19,567.0,146700.0,29.0821,-0.3937,28.3329,27.9036,27.4742,166.6667,-0.3198,-0.5409,0.2211,-1908000.0,81.9728,16.7035,16.1483,677097000.0,27.9838
2014-04-03,569.85,587.28,564.13,569.74,5085200.0,29.0821,-0.3937,28.4966,28.0156,27.5346,61.4357,-0.3198,-0.5409,0.2211,99796000.0,81.9728,16.7035,16.1483,677097000.0,28.1133
2014-04-04,574.65,577.77,543.0,543.14,6351900.0,29.0821,-0.3937,28.8267,27.8482,26.8697,-101.3925,-0.3198,-0.5409,0.2211,-27242000.0,28.4142,16.7035,16.1483,677097000.0,27.7652
2014-04-07,540.74,548.48,527.15,538.15,4389600.0,29.0821,-0.3937,29.0033,27.6613,26.3193,-128.165,-0.3198,-0.5409,0.2211,-115034000.0,24.6392,16.7035,16.1483,677097000.0,27.3903
2014-04-08,542.6,555.0,541.61,554.9,3142600.0,29.0821,-0.3937,28.784,27.5396,26.2951,-41.6806,-0.3198,-0.5409,0.2211,-52182000.0,51.6126,16.7035,16.1483,677097000.0,27.3549
2014-04-09,559.62,565.37,552.95,564.14,3321700.0,29.0821,-0.3937,28.7034,27.5112,26.3189,37.5914,-0.3198,-0.5409,0.2211,14252000.0,61.191,37.1336,22.5157,677097000.0,27.513
2014-04-10,565.0,565.0,539.9,540.95,4025800.0,26.2623,-0.3937,28.1964,27.2252,26.254,-21.7181,-0.3198,-0.5409,0.2211,-66264000.0,37.7487,41.5007,31.7793,677097000.0,27.2968
2014-04-11,532.55,540.0,526.53,530.6,3914100.0,28.1027,-0.3937,28.3026,27.1007,25.8988,-104.5548,-0.3198,-0.5409,0.2211,-144546000.0,31.1015,33.0859,37.2401,677097000.0,27.0045
2014-04-14,538.25,544.1,529.561,532.52,2568000.0,27.2846,-0.3937,28.3345,27.0448,25.7551,-72.5493,-0.3198,-0.5409,0.2211,-93186000.0,33.8044,17.721,30.7692,677097000.0,26.7856
2014-04-15,536.82,538.45,518.4601,536.44,3844500.0,30.011,-0.3937,28.0666,26.8614,25.6562,-67.338,-0.3198,-0.5409,0.2211,-16296000.0,39.8288,21.4099,24.0723,677097000.0,26.6501
2014-04-16,543.0,557.0,540.0,556.54,4879900.0,24.7668,-0.3937,27.7067,26.786,25.8652,93.844,-0.3198,-0.5409,0.2211,81302000.0,61.9968,45.191,28.1073,677097000.0,26.9085
2014-04-17,548.81,549.5,531.15,536.1,6790900.0,22.358,-0.3937,27.6626,26.7378,25.8129,12.8699,-0.3198,-0.5409,0.2211,-54516000.0,42.2233,55.307,40.636,677097000.0,26.8537
2014-04-21,536.1,536.7,525.6,528.62,2559700.0,22.3665,-0.3937,27.6787,26.7181,25.7575,-76.9246,-0.3198,-0.5409,0.2211,-105710000.0,36.8474,51.3182,50.6054,677097000.0,26.6912
2014-04-22,528.64,537.23,527.51,534.81,2358900.0,22.0536,-0.3937,27.6796,26.7409,25.8022,-38.6192,-0.3198,-0.5409,0.2211,-58532000.0,44.1969,38.1853,48.2702,677097000.0,26.6376
2014-04-23,533.79,533.87,526.25,526.94,2046700.0,22.3951,-0.3937,27.6957,26.6465,25.5973,-73.3096,-0.3198,-0.5409,0.2211,-99466000.0,37.2984,24.351,37.9515,677097000.0,26.4463
2014-04-24,530.07,531.65,522.12,525.16,1878000.0,24.693,-0.3937,26.7666,26.3349,25.9031,-96.9302,-0.3198,-0.5409,0.2211,-137026000.0,35.7221,19.2646,27.2669,677097000.0,26.2569
2014-04-25,522.51,524.7,515.42,516.18,2094600.0,29.3365,-0.3937,26.7361,26.137,25.538,-146.4596,-0.3198,-0.5409,0.2211,-178918000.0,28.2049,6.2851,16.6335,677097000.0,26.0227
2014-04-28,517.18,518.6,502.8,517.15,3326400.0,36.5215,-0.3937,26.7039,26.0231,25.3424,-113.3331,-0.3198,-0.5409,0.2211,-112390000.0,30.1885,18.7555,14.7684,677097000.0,25.8706
2014-04-29,516.9,529.46,516.32,527.7,2691700.0,33.5506,-0.3937,26.4437,25.9525,25.4613,28.3622,-0.3198,-0.5409,0.2211,-58556000.0,49.2507,41.7683,22.2696,677097000.0,25.931
2014-04-30,527.6,528.0,522.52,526.66,1746400.0,31.1739,-0.3937,26.4362,25.9497,25.4632,58.6574,-0.3198,-0.5409,0.2211,-93484000.0,47.6476,68.1747,42.8995,677097000.0,25.9978
